raw_text,link,page_found,scrape_timestamp
"Zentrale 4-Zimmer-Wohnung nahe Karlsplatz | 1040 Wien, 04. Bezirk, Wieden, Operngasse | 82 m² | 4 Zimmer | Gewerblicher Anbieter | € 1.264,02",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1040-wieden/zentrale-4-zimmer-wohnung-nahe-karlsplatz-1533491006/,1,2026-01-19T07:24:11.078597
"Penthouse | 1100 Wien, 10. Bezirk, Favoriten | 200 m² | 7 Zimmer | Dachterrasse | Privat | € 5.000",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/penthouse-1824377316/,1,2026-01-19T07:24:11.110521
"Arbeiten & Wohnen vereint - moderne 2-Zimmer-Wohnung mit Balkon & angrenzendem Büro mit separatem Zugang | 1100 Wien, 10. Bezirk, Favoriten, Laxenburger Straße 151D | 37 m² | 3 Zimmer | Balkon | IMPULS Immobilien Verner OG | € 1.181,81",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/arbeiten-wohnen-vereint-moderne-2-zimmer-wohnung-mit-balkon-angrenzendem-buero-mit-separatem-zugang-1742237646/,1,2026-01-19T07:24:11.156334
"Ruhiger 2-Zimmer-Wohntraum, Wohnen am Leberberg! | 1110 Wien, 11. Bezirk, Simmering, Rosa-Jochmann-Ring | 48 m² | 2 Zimmer | Terrasse, Balkon, Loggia | EHL Immobilien GmbH | € 875,25",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1110-simmering/ruhiger-2-zimmer-wohntraum-wohnen-am-leberberg-2078087816/,1,2026-01-19T07:24:11.172083
"Charmante Gartenwohnung in 1180 Wien - Ihr grünes Paradies auf 48,61 m²! | 1180 Wien, 18. Bezirk, Währing | 49 m² | Garten | Peschak Immobilien GmbH | € 1.099,99",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1180-waehring/charmante-gartenwohnung-in-1180-wien-ihr-gruenes-paradies-auf-48-61-m-1009378133/,1,2026-01-19T07:24:11.189438
"AB SOFORT BEZIEHBAR!! Wohnen in Floridsdorf - 3-Zimmergartenwohnung Nähe Shopping City Nord & Klink Floridsdorf!! | 1210 Wien, 21. Bezirk, Floridsdorf, Siemensstraße | 74 m² | 3 Zimmer | Terrasse, Garten | Doppio Immobilien GmbH | € 1.482,92",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/ab-sofort-beziehbar-wohnen-in-floridsdorf-3-zimmergartenwohnung-naehe-shopping-city-nord-klink-floridsdorf-1552988207/,1,2026-01-19T07:24:11.206241
"Vermiete PRIVAT 40m2 Wohnung- Grünruhelage, hofseitig, 1 Zimmer | 1100 Wien, 10. Bezirk, Favoriten, Herzgasse | 40 m² | 1 Zimmer | Garten | Privat | € 835",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/vermiete-privat-40m2-wohnung-gruenruhelage-hofseitig-1-zimmer-1931225219/,1,2026-01-19T07:24:11.221078
"Kolo 35 - Zentral begehbare Wohnung in Hofruhelage mit Abstellraum nahe S-Bahn Jedlersdorf, Denglerpark und SCN. - WOHNTRAUM | 1210 Wien, 21. Bezirk, Floridsdorf, Koloniestraße 35 | 77 m² | 3 Zimmer | Balkon | teamneunzehn-Gruppe | € 1.427",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/kolo-35-zentral-begehbare-wohnung-in-hofruhelage-mit-abstellraum-nahe-s-bahn-jedlersdorf-denglerpark-und-scn-wohntraum-1191707403/,1,2026-01-19T07:24:11.237137
"Kolo 35 - Neubau-Wohnung mit Terrasse nahe S-Bahn Jedlersdorf, Denglerpark und SCN! - JETZT ZUSCHLAGEN | 1210 Wien, 21. Bezirk, Floridsdorf, Koloniestraße 35 | 42 m² | 2 Zimmer | Terrasse | teamneunzehn-Gruppe | € 879,89",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/kolo-35-neubau-wohnung-mit-terrasse-nahe-s-bahn-jedlersdorf-denglerpark-und-scn-jetzt-zuschlagen-977023593/,1,2026-01-19T07:24:11.253394
"Kolo 35 - Klimatisierte Dachgeschoss-Wohnung mit 2 Terrassen nahe SCN, Denglerpark und Prager Straße! - Ab sofort! - JETZT ZUSCHLAGEN | 1210 Wien, 21. Bezirk, Floridsdorf, Koloniestraße 35 | 52 m² | 2 Zimmer | Terrasse | teamneunzehn-Gruppe | € 950,16",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/kolo-35-klimatisierte-dachgeschoss-wohnung-mit-2-terrassen-nahe-scn-denglerpark-und-prager-strasse-ab-sofort-jetzt-zuschlagen-1104209907/,1,2026-01-19T07:24:11.269841
"Kolo 35 - Tolle 2-Zimmer Wohnung mit Terrasse beim FAC-Platz nahe S-Bahn Jedlersdorf, Denglerpark und SCN - JETZT ANFRAGEN | 1210 Wien, 21. Bezirk, Floridsdorf, Koloniestraße 35 | 59 m² | 2 Zimmer | Terrasse | teamneunzehn-Gruppe | € 1.138,67",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/kolo-35-tolle-2-zimmer-wohnung-mit-terrasse-beim-fac-platz-nahe-s-bahn-jedlersdorf-denglerpark-und-scn-jetzt-anfragen-1351473205/,1,2026-01-19T07:24:11.285756
"Kolo 35 - Modernes Wohnen beim FAC-Platz nahe S-Bahn Jedlersdorf, Denglerpark und SCN. - WOHNTRAUM | 1210 Wien, 21. Bezirk, Floridsdorf, Koloniestraße 35 | teamneunzehn-Gruppe | ab € 879",https://www.willhaben.at/iad/immobilien/d/neubauprojekt/wien/wien-1210-floridsdorf/kolo-35-modernes-wohnen-beim-fac-platz-nahe-s-bahn-jedlersdorf-denglerpark-und-scn-wohntraum-2140760547/,1,2026-01-19T07:24:11.299363
"Etage 2/Top 18 | 49 m², 2 Zimmer | € 937",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/kolo-35-tolle-2-zimmer-wohnung-mit-abstellraum-und-balkon-beim-fac-platz-nahe-s-bahn-jedlersdorf-denglerpark-und-scn-1484023318/,1,2026-01-19T07:24:11.315287
"26. OG | Neuwertig| 3 Zimmer | Provisionsfrei | DAN-Küche | Loggia | Helio Tower | 1030 Wien, 03. Bezirk, Landstraße, Döblerhofstraße 10 | 84 m² | 3 Zimmer | Loggia | Privat | € 2.000",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/26-og-neuwertig-3-zimmer-provisionsfrei-dan-kueche-loggia-helio-tower-1407311746/,1,2026-01-19T07:24:11.345538
"Tolle Single-, Studentenwohnung- WOHNEN im Herzen von Favoriten- in nur 3 Min. bei der U1 Reumannplatz | 1100 Wien, 10. Bezirk, Favoriten | 30 m² | 1 Zimmer | RIMMO Prime Vermittlungs GmbH | € 738,76",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/tolle-single-studentenwohnung-wohnen-im-herzen-von-favoriten-in-nur-3-min-bei-der-u1-reumannplatz-1275086138/,1,2026-01-19T07:24:11.360625
"Coole DG Wohnung- Bezugsfertig- in nur 3 Min. zu Fuß bei der U1 | 1100 Wien, 10. Bezirk, Favoriten | 37 m² | 1 Zimmer | RIMMO Prime Vermittlungs GmbH | € 897,68",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/coole-dg-wohnung-bezugsfertig-in-nur-3-min-zu-fuss-bei-der-u1-1177362850/,1,2026-01-19T07:24:11.375361
"U-Bahn U1 Kagran - Sauna - Loggia - Fitnessraum - Deckenkühlung - Pool am Dach | 1220 Wien, 22. Bezirk, Donaustadt | 49 m² | 2 Zimmer | Loggia | Alexander Ringsmuth GmbH | € 1.498,99",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/u-bahn-u1-kagran-sauna-loggia-fitnessraum-deckenkuehlung-pool-am-dach-1214139166/,1,2026-01-19T07:24:11.391183
"U-Bahn U1 Kagran - Sauna - Loggia - Fitnessraum - Deckenkühlung - Pool am Dach | 1220 Wien, 22. Bezirk, Donaustadt | 73 m² | 3 Zimmer | Loggia | Alexander Ringsmuth GmbH | € 2.323,84",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/u-bahn-u1-kagran-sauna-loggia-fitnessraum-deckenkuehlung-pool-am-dach-1503426068/,1,2026-01-19T07:24:11.407359
"U-Bahn U1 Kagran - Sauna - Loggia - Fitnessraum - Deckenkühlung - Pool am Dach | 1220 Wien, 22. Bezirk, Donaustadt | 47 m² | 2 Zimmer | Loggia | Alexander Ringsmuth GmbH | € 1.349",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/u-bahn-u1-kagran-sauna-loggia-fitnessraum-deckenkuehlung-pool-am-dach-852589107/,1,2026-01-19T07:24:11.425625
"U-Bahn U1 Kagran - Sauna - Loggia - Fitnessraum - Deckenkühlung - Pool am Dach | 1220 Wien, 22. Bezirk, Donaustadt | 51 m² | 2 Zimmer | Loggia | Alexander Ringsmuth GmbH | € 1.599,99",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/u-bahn-u1-kagran-sauna-loggia-fitnessraum-deckenkuehlung-pool-am-dach-1606623902/,1,2026-01-19T07:24:11.442194
"U-Bahn U1 Kagran - Sauna - Loggia - Fitnessraum - Deckenkühlung - Pool am Dach | 1220 Wien, 22. Bezirk, Donaustadt | 51 m² | 2 Zimmer | Loggia | Alexander Ringsmuth GmbH | € 1.598,99",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/u-bahn-u1-kagran-sauna-loggia-fitnessraum-deckenkuehlung-pool-am-dach-1668204135/,1,2026-01-19T07:24:11.458894
"U-Bahn U1 Kagran - Sauna - Loggia - Fitnessraum - Deckenkühlung - Pool am Dach | 1220 Wien, 22. Bezirk, Donaustadt | 51 m² | 2 Zimmer | Loggia | Alexander Ringsmuth GmbH | € 1.499",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/u-bahn-u1-kagran-sauna-loggia-fitnessraum-deckenkuehlung-pool-am-dach-1478323019/,1,2026-01-19T07:24:11.475972
"U-Bahn U1 Kagran - Sauna - Loggia - Fitnessraum - Deckenkühlung - Pool am Dach | 1220 Wien, 22. Bezirk, Donaustadt | 49 m² | 2 Zimmer | Loggia | Alexander Ringsmuth GmbH | € 1.499",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/u-bahn-u1-kagran-sauna-loggia-fitnessraum-deckenkuehlung-pool-am-dach-1604938252/,1,2026-01-19T07:24:11.492460
"U-Bahn U1 Kagran - Sauna - Loggia - Fitnessraum - Deckenkühlung - Pool am Dach | 1220 Wien, 22. Bezirk, Donaustadt | 49 m² | 2 Zimmer | Loggia | Alexander Ringsmuth GmbH | € 1.450",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/u-bahn-u1-kagran-sauna-loggia-fitnessraum-deckenkuehlung-pool-am-dach-1497147614/,1,2026-01-19T07:24:11.509148
